state,medical,recreational,mml_effect,mml_retail,rml_effect,rml_retail,mml_retail_cite,rml_retail_cite,mml_cite_act,rml_cite_act,,,,,,
Minnesota,2015,2025,5/29/14,7/1/15,8/1/23,9/16/25,https://www.mprnews.org/story/2015/06/26/medical-marijuana,https://www.cbsnews.com/minnesota/news/minnesota-first-non-tribal-recreational-marijuana-dispensary-open/,SF 2471 (2014); Minnesota Medical Cannabis Act,HF 100 (2023); Minn. Stat. § 342,,,,,,
Mississippi,2023,-,2/2/22,1/25/23,-,-,https://apnews.com/article/health-mississippi-state-government-marijuana-c87db59063eb5cad4f8f147492da15ce,-,SB 2095 (2022); Mississippi Medical Cannabis Act,-,,,,,,
Missouri,2020,2023,12/6/18,10/17/20,12/8/22,2/3/23,https://health.mo.gov/news/newsitem/uuid/8699f112-4b15-4344-ac34-6aeaab664fdf/first-medical-marijuana-sales-to-patients-in-missouri-take-place-today,https://apnews.com/article/missouri-marijuana-3f735b5ecae3e9deb0808bb3f6f3a52b,Amendment 2 (2018); MO Const. Art. XIV,Amendment 3 (2022); Mo. Const. art. XIV,,,,,,
Montana,2018,2022,11/2/04,4/10/18,1/1/21,1/1/22,https://archive.legmt.gov/content/Committees/Interim/2017-2018/Children-Family/Committee-Topics/medical-marijuana-act/may2018-recent-developments.pdf,https://apnews.com/article/business-health-marijuana-recreational-marijuana-legislature-0dadec41a107e62c4e01a45633d02522,Initiative 148 (2004); Montana Medical Marijuana Act,Initiative 190 (2020); Mont. Code Ann. § 16-12,,,,,,
Nebraska,-,-,12/10/24,-,-,-,-,-,Initiative 437 (2024); Patient Protection Act,-,,,,,,
Nevada,2015,2017,10/1/01,7/31/15,1/1/17,7/1/17,https://www.reviewjournal.com/news/nevadas-first-medical-pot-dispensary-opens-in-sparks/,https://lasvegassun.com/news/2017/jul/01/here-for-the-history-recreational-marijuana-sales/,"Question 9 (2000); NV Const. Art. 4, § 38",Question 2 (2016); NRS 678D,,,,,,
New Hampshire,2016,-,7/23/13,4/30/16,-,-,https://www.cbsnews.com/boston/news/new-hampshire-medical-marijuana-plymouth/,-,HB 573 (2013); RSA 126-X,-,,,,,,
New Jersey,2012,2022,1/18/10,12/6/12,2/22/21,4/21/22,https://www.cbsnews.com/newyork/news/njs-1st-medical-marijuana-dispensary-open-in-montclair/,https://apnews.com/article/health-business-recreational-marijuana-new-jersey-medical-64f39d122b89acc70a0f161e82cb6128,SB 119 (2010); Compassionate Use Medical Marijuana Act,"AB 21 (2021) (New Jersey Cannabis Regulatory, Enforcement Assistance, and Marketplace Modernization Act)",,,,,,
New Mexico,2010,2022,7/1/07,1/1/10,6/29/21,4/1/22,https://www.mpp.org/issues/medical-marijuana/state-by-state-medical-marijuana-laws/medical-marijuana-program-implementation-timeline/,https://apnews.com/article/health-business-texas-new-mexico-marijuana-f786a646543955f1db4a9e51cee79e8c,SB 523 (2023); Lynn and Erin Compassionate Use Act,HB 2 (2021) (Cannabis Regulation Act),,,,,,
New York,2016,2022,7/5/14,1/7/16,3/31/21,12/29/22,https://www.health.ny.gov/press/releases/2016/2016-01-05_launch_of_medical_marijuana_program.htm,https://www.pbs.org/newshour/economy/new-york-opens-its-first-legal-recreational-marijuana-dispensary,A. 6357 (2014); Compassionate Care Act,SB 854/AB 1248A (2021) (Marijuana Regulation and Taxation Act - MRTA),,,,,,
